,trial,n,r,order,SNR,mode,alpha,sampling,tolerance,time,rel_error,revealed,post_als_rel_error
104,4,50,6,3,50.0,seq,1.0,"[0.7, 0.1]",0.001,1.2306451350450516,0.003359615054704,0.19672,0.0373894134036461
105,5,50,6,3,50.0,seq,1.0,"[0.7, 0.1]",0.001,1.278222979977727,0.0020195283909814,0.21072,0.0428919344462119
106,6,50,6,3,50.0,seq,1.0,"[0.7, 0.1]",0.001,1.2333314325660467,0.0027121306930706,0.19672,0.0467677850720576
107,7,50,6,3,50.0,seq,1.0,"[0.7, 0.1]",0.001,1.181564535945654,0.0044251003941635,0.18272,0.0422859664712454
108,8,50,6,3,50.0,seq,1.0,"[0.7, 0.1]",0.001,1.2251296415925026,0.0021247797326169,0.19672,0.0459430058523789
109,9,50,6,3,50.0,seq,1.0,"[0.7, 0.1]",0.001,1.1750759072601795,0.0022872190441565,0.18272,0.0426616799112351
110,0,50,4,3,inf,seq,1.0,"[0.05, 0.1]",0.001,4.487801047973335,53.437978603735374,0.138768,53.13674977360502
111,1,50,4,3,inf,seq,1.0,"[0.05, 0.1]",0.001,4.463958874344826,4.8756593131840456,0.138768,4.295559942698824
112,2,50,4,3,inf,seq,1.0,"[0.05, 0.1]",0.001,4.516634739935398,4.160105554178864,0.138768,3.3336446375420974
113,3,50,4,3,inf,seq,1.0,"[0.05, 0.1]",0.001,4.526924148201942,19.32118669446,0.138768,16.833041640111595
114,4,50,4,3,inf,seq,1.0,"[0.05, 0.1]",0.001,4.184121537022293,103.2800932525596,0.138768,100.83685370464688
115,5,50,4,3,inf,seq,1.0,"[0.05, 0.1]",0.001,3.401840493083,6.915553143776899,0.138768,6.389946661572
116,6,50,4,3,inf,seq,1.0,"[0.05, 0.1]",0.001,3.401040783151984,6.051648704235988,0.138768,5.288322446284641
117,7,50,4,3,inf,seq,1.0,"[0.05, 0.1]",0.001,3.396251183003187,4.628653154136747,0.138768,4.097895181206106
118,8,50,4,3,inf,seq,1.0,"[0.05, 0.1]",0.001,3.3827242413535714,1.7215757230313748,0.138768,1.1841906202925887
119,9,50,4,3,inf,seq,1.0,"[0.05, 0.1]",0.001,3.3052014354616404,23.75653654610521,0.138768,23.24473047130624
130,0,50,4,3,inf,seq,1.0,"[0.3, 0.1]",0.001,1.0507822800427675,2.154177111411173e-15,0.12312,0.0347485052291647
131,1,50,4,3,inf,seq,1.0,"[0.3, 0.1]",0.001,1.050290589220822,2.0829092376786347e-15,0.12312,0.0343958169852797
132,2,50,4,3,inf,seq,1.0,"[0.3, 0.1]",0.001,1.097283013164997,0.0014107254315368,0.12912,0.0325718567939719
133,3,50,4,3,inf,seq,1.0,"[0.3, 0.1]",0.001,1.09737457241863,0.0012933426456942,0.12912,0.0336558500641962
134,4,50,4,3,inf,seq,1.0,"[0.3, 0.1]",0.001,1.0503882551565766,0.0038582243087546,0.12312,0.0378982414996376
135,5,50,4,3,inf,seq,1.0,"[0.3, 0.1]",0.001,1.093698749318719,0.0032208598440708,0.12912,0.0345701505391428
136,6,50,4,3,inf,seq,1.0,"[0.3, 0.1]",0.001,1.0641888491809368,5.571167345062673e-15,0.12312,0.0360148247202669
137,7,50,4,3,inf,seq,1.0,"[0.3, 0.1]",0.001,1.0967184891924262,0.0017393383301279,0.12912,0.0383222319211058
138,8,50,4,3,inf,seq,1.0,"[0.3, 0.1]",0.001,1.1022762954235077,0.003019201952384,0.12912,0.0373840274469619
139,9,50,4,3,inf,seq,1.0,"[0.3, 0.1]",0.001,1.0974187292158604,0.0023623065395285,0.12912,0.0335049491150773
140,0,50,6,3,30.0,seq,1.0,"[0.7, 0.1]",0.001,1.863483109511435,0.0085368325759266,0.25272,0.0436010228137526
141,1,50,6,3,30.0,seq,1.0,"[0.7, 0.1]",0.001,1.7982042944058776,0.0075866875389053,0.22472,0.0407945716953111
142,2,50,6,3,30.0,seq,1.0,"[0.7, 0.1]",0.001,1.6834718212485311,0.0048850275981568,0.18272,0.0481362754762419
143,3,50,6,3,30.0,seq,1.0,"[0.7, 0.1]",0.001,1.7614952204748988,0.0031758158082286,0.21084,0.0521843019182604
144,4,50,6,3,30.0,seq,1.0,"[0.7, 0.1]",0.001,2.1202599480748177,0.0092555531645113,0.33672,0.0384578533532531
145,5,50,6,3,30.0,seq,1.0,"[0.7, 0.1]",0.001,1.7610085988417268,0.0056828519970145,0.21072,0.0441330745932576
146,6,50,6,3,30.0,seq,1.0,"[0.7, 0.1]",0.001,1.7626114087179303,0.0060385696799335,0.21072,0.0369727730174954
147,7,50,6,3,30.0,seq,1.0,"[0.7, 0.1]",0.001,1.9661777671426528,0.0084715435039286,0.29472,0.0395571388102875
148,8,50,6,3,30.0,seq,1.0,"[0.7, 0.1]",0.001,1.679266108199954,0.0064929086861237,0.18272,0.0425643095001669
149,9,50,6,3,30.0,seq,1.0,"[0.7, 0.1]",0.001,1.7093048179522157,0.0040990828943927,0.19672,0.0386519979108302
150,0,50,8,3,inf,seq,1.0,"[0.8, 0.1]",0.001,1.307990115135908,0.0033091779655353,0.24264,0.0290395667196971
151,1,50,8,3,inf,seq,1.0,"[0.8, 0.1]",0.001,1.3054245514795184,0.0018271516270797,0.24264,0.0317908627304529
152,2,50,8,3,inf,seq,1.0,"[0.8, 0.1]",0.001,1.3119537606835363,0.0014674377073335,0.24264,0.0359743523332298
153,3,50,8,3,inf,seq,1.0,"[0.8, 0.1]",0.001,1.2613844294101,0.0035654079331583,0.22664,0.0331269370958713
154,4,50,8,3,inf,seq,1.0,"[0.8, 0.1]",0.001,1.3146292297169566,0.0010296073590061,0.24264,0.0509996710263018
155,5,50,8,3,inf,seq,1.0,"[0.8, 0.1]",0.001,1.3107488360255957,0.003185060822468,0.24264,0.0326256424735713
156,6,50,8,3,inf,seq,1.0,"[0.8, 0.1]",0.001,1.3128152303397655,0.0035002723277399,0.24264,0.0378073680719267
157,7,50,8,3,inf,seq,1.0,"[0.8, 0.1]",0.001,1.3077126517891884,0.0051446157945153,0.24264,0.0363939848385432
158,8,50,8,3,inf,seq,1.0,"[0.8, 0.1]",0.001,1.254741532728076,2.00416587831196e-14,0.22664,0.0435000809479546
159,9,50,8,3,inf,seq,1.0,"[0.8, 0.1]",0.001,1.257178824394941,0.0035961953543194,0.22664,0.0363393443067651
160,0,50,4,3,inf,seq,1.0,"[0.4, 0.1]",0.001,1.1599659752100706,0.0035425924809219,0.14696,0.0385255645630429
161,1,50,4,3,inf,seq,1.0,"[0.4, 0.1]",0.001,1.053724012337625,0.0024916166380546,0.13096,0.0388641653858084
162,2,50,4,3,inf,seq,1.0,"[0.4, 0.1]",0.001,1.1051370007917285,0.0024338423668021,0.13896,0.035081561822352
163,3,50,4,3,inf,seq,1.0,"[0.4, 0.1]",0.001,1.056950029917061,3.085466841982492e-15,0.13096,0.0365415481899921
164,4,50,4,3,inf,seq,1.0,"[0.4, 0.1]",0.001,1.0533564919605851,0.000584184136375,0.13096,0.0433252600956687
165,5,50,4,3,inf,seq,1.0,"[0.4, 0.1]",0.001,1.1520082904025912,0.0037063927888817,0.14696,0.0363112566069743
166,6,50,4,3,inf,seq,1.0,"[0.4, 0.1]",0.001,1.0574903916567564,3.740645606207526e-15,0.13096,0.0347542351858214
167,7,50,4,3,inf,seq,1.0,"[0.4, 0.1]",0.001,1.0524007780477405,0.002287994218456,0.13096,0.0434213282829674
168,8,50,4,3,inf,seq,1.0,"[0.4, 0.1]",0.001,1.0535494480282068,0.0039096705695767,0.13096,0.0337091044618565
169,9,50,4,3,inf,seq,1.0,"[0.4, 0.1]",0.001,1.1038052160292864,0.003975333397421,0.13896,0.0373836455624499
180,0,50,4,3,inf,seq,1.0,"[0.6, 0.1]",0.001,1.0913231307640672,0.0035304468621646,0.15864,0.0346408976394925
181,1,50,4,3,inf,seq,1.0,"[0.6, 0.1]",0.001,1.0458025494590402,0.0040486316524435,0.14664,0.0335913823273932
182,2,50,4,3,inf,seq,1.0,"[0.6, 0.1]",0.001,1.0462464028969407,9.938599032404306e-15,0.14664,0.0325818424930778
183,3,50,4,3,inf,seq,1.0,"[0.6, 0.1]",0.001,1.0458409320563078,1.0007303349430841e-14,0.14664,0.0313534339911771
