,Unnamed: 0,trial,n,r,order,SNR,mode,slices,alpha,beta,delta,gamma,time,adaptive,inner_als,rel_error,matrix budget,total budget,revealed,post_als_rel_error,just_als_rel_error
135,135,5,50,8,3,60.0,deli,2,1.0,0.5,8.0,0.7,0.2035908399993786,True,False,1.651917950577646e-05,4580,7780,0.06224,3.081740223774951e-06,0.1619109983857158
136,136,6,50,8,3,60.0,deli,2,1.0,0.5,8.0,0.7,0.2178774050044012,True,False,0.0008068607547643,4580,7780,0.06224,0.0003356287110998,0.1629000961865399
137,137,7,50,8,3,60.0,deli,2,1.0,0.5,8.0,0.7,0.2144908159971237,True,False,0.0029169824884127,4580,7780,0.06224,0.0010698834077129,0.1686262814035339
138,138,8,50,8,3,60.0,deli,2,1.0,0.5,8.0,0.7,0.2140528700037975,True,False,4.6709247084624966e-05,4580,7780,0.06224,5.185143060540633e-06,0.1425900121619407
139,139,9,50,8,3,60.0,deli,2,1.0,0.5,8.0,0.7,0.2160345790034625,True,False,3.7973799714283175e-05,4580,7780,0.06224,1.5037645777060124e-05,0.1648453340051548
140,140,0,50,4,3,20.0,deli,2,1.0,0.5,8.0,0.7,0.4325961843132972,True,False,0.3105901908693352,4890,6490,0.05192,0.0746626121347463,0.1622395004030149
141,141,1,50,4,3,20.0,deli,2,1.0,0.5,8.0,0.7,0.3595130778849125,True,False,0.2363918075082617,4900,6500,0.052,0.1266055350494716,0.1622218448154704
142,142,2,50,4,3,20.0,deli,2,1.0,0.5,8.0,0.7,0.3590371496975422,True,False,0.2473608898065966,4900,6500,0.052,0.0839869586414693,0.1694523909183404
143,143,3,50,4,3,20.0,deli,2,1.0,0.5,8.0,0.7,0.3549997620284557,True,False,0.0768011945286424,4900,6500,0.052,0.035146621928962,0.1730550756469433
144,144,4,50,4,3,20.0,deli,2,1.0,0.5,8.0,0.7,0.3637440130114555,True,False,0.1029968310666809,4900,6500,0.052,0.0517920364399682,0.1461174793737646
145,145,5,50,4,3,20.0,deli,2,1.0,0.5,8.0,0.7,0.3642616346478462,True,False,0.2499248406633177,4900,6500,0.052,0.0904648352076299,0.1765686017080013
146,146,6,50,4,3,20.0,deli,2,1.0,0.5,8.0,0.7,0.3616150505840778,True,False,0.5565267431278916,4900,6500,0.052,0.1422290721503119,0.1761778542853389
147,147,7,50,4,3,20.0,deli,2,1.0,0.5,8.0,0.7,0.3681132607161999,True,False,0.4810249567690777,4900,6500,0.052,0.1070418443647373,0.1875737804776597
148,148,8,50,4,3,20.0,deli,2,1.0,0.5,8.0,0.7,0.3869625553488731,True,False,0.3172270574901405,4900,6500,0.052,0.1055066011288639,0.1942032741580328
149,149,9,50,4,3,20.0,deli,2,1.0,0.5,8.0,0.7,0.5025863125920296,True,False,0.1647520279612279,4900,6500,0.052,0.0805310018028743,0.1624706450532678
150,150,0,50,6,3,50.0,deli,2,1.0,0.5,8.0,0.7,0.2056887578219175,True,False,0.0001774032016039,4560,6960,0.05568,1.7377780974998043e-05,0.1615989188766637
151,151,1,50,6,3,50.0,deli,2,1.0,0.5,8.0,0.7,0.1395733933895826,True,False,0.001043679555041,4560,6960,0.05568,8.637030199412434e-05,0.1357929208101894
152,152,2,50,6,3,50.0,deli,2,1.0,0.5,8.0,0.7,0.1404880713671445,True,False,0.0001769088167467,4560,6960,0.05568,3.7789579259581626e-05,0.1444612293297477
153,153,3,50,6,3,50.0,deli,2,1.0,0.5,8.0,0.7,0.1398376226425171,True,False,0.1031160525916489,4560,6960,0.05568,0.0154319010769164,0.1582572319927919
154,154,4,50,6,3,50.0,deli,2,1.0,0.5,8.0,0.7,0.1425844077020883,True,False,0.1101993263166728,4560,6960,0.05568,0.0522365481245617,0.1788160500844357
155,155,5,50,6,3,50.0,deli,2,1.0,0.5,8.0,0.7,0.1401339471340179,True,False,0.000352429719643,4560,6960,0.05568,6.116305786919229e-05,0.1729070060471781
156,156,6,50,6,3,50.0,deli,2,1.0,0.5,8.0,0.7,0.1400702986866235,True,False,0.0124245773169,4560,6960,0.05568,0.0047345284382628,0.1787322794073069
157,157,7,50,6,3,50.0,deli,2,1.0,0.5,8.0,0.7,0.1404951754957437,True,False,0.0080420445434759,4560,6960,0.05568,0.0012817386166559,0.1339346490459556
158,158,8,50,6,3,50.0,deli,2,1.0,0.5,8.0,0.7,0.1396428756415844,True,False,0.0002669789099398,4560,6960,0.05568,4.240451531878805e-05,0.1451586063074573
159,159,9,50,6,3,50.0,deli,2,1.0,0.5,8.0,0.7,0.1420556958764791,True,False,0.000126423578754,4560,6960,0.05568,5.155116955757257e-05,0.1416624583194457
170,170,0,50,6,3,30.0,deli,2,1.0,0.5,8.0,0.7,0.1451613046228885,True,False,0.0050944354841711,4570,6970,0.05576,0.0019613753647754,0.1546734402771021
171,171,1,50,6,3,30.0,deli,2,1.0,0.5,8.0,0.7,0.1428031846880912,True,False,0.0014805468292535,4590,6990,0.05592,0.0003982493705579,0.1553581888990008
172,172,2,50,6,3,30.0,deli,2,1.0,0.5,8.0,0.7,0.1432401612401008,True,False,0.0333005548097614,4580,6980,0.05584,0.0211584970567565,0.1643890431344254
173,173,3,50,6,3,30.0,deli,2,1.0,0.5,8.0,0.7,0.1417955979704857,True,False,0.0141599461509317,4580,6980,0.05584,0.0021538531638248,0.1789818982698221
174,174,4,50,6,3,30.0,deli,2,1.0,0.5,8.0,0.7,0.1427599117159843,True,False,0.0051618901080366,4580,6980,0.05584,0.0010683796544689,0.1670903803767881
175,175,5,50,6,3,30.0,deli,2,1.0,0.5,8.0,0.7,0.1427215933799743,True,False,0.0058803969096585,4600,7000,0.056,0.0012332401059049,0.157431283245616
176,176,6,50,6,3,30.0,deli,2,1.0,0.5,8.0,0.7,0.1423924230039119,True,False,0.0106953676688379,4590,6990,0.05592,0.0010084043364167,0.1443922543578692
177,177,7,50,6,3,30.0,deli,2,1.0,0.5,8.0,0.7,0.1445114687085151,True,False,0.0189554076970329,4600,7000,0.056,0.0057186461875791,0.1399689253196611
178,178,8,50,6,3,30.0,deli,2,1.0,0.5,8.0,0.7,0.1440268903970718,True,False,0.0037072680993603,4610,7010,0.05608,0.0008106771536902,0.1683679120291908
179,179,9,50,6,3,30.0,deli,2,1.0,0.5,8.0,0.7,0.1458247862756252,True,False,0.0094954947107893,4600,7000,0.056,0.0018261915649639,0.1441364268483844
180,180,0,50,8,3,10.0,deli,2,1.0,0.5,8.0,0.7,0.5304344743490219,True,False,0.2927858873928312,4900,8100,0.0648,0.0934726096439636,0.1514340891341714
181,181,1,50,8,3,10.0,deli,2,1.0,0.5,8.0,0.7,0.3936086595058441,True,False,0.9560474202952738,4900,8100,0.0648,0.1028160125283484,0.1777771870642806
182,182,2,50,8,3,10.0,deli,2,1.0,0.5,8.0,0.7,0.3923591151833534,True,False,0.6517811147513133,4900,8100,0.0648,0.1129001044258635,0.1481749144769069
183,183,3,50,8,3,10.0,deli,2,1.0,0.5,8.0,0.7,0.3978802636265754,True,False,0.858451100063124,4900,8100,0.0648,0.1106545753920632,0.1869700351672303
184,184,4,50,8,3,10.0,deli,2,1.0,0.5,8.0,0.7,0.3966834247112274,True,False,0.8890235404656247,4900,8100,0.0648,0.1204748908376926,0.172501096717549
185,185,5,50,8,3,10.0,deli,2,1.0,0.5,8.0,0.7,0.3927908912301063,True,False,0.5601810846551117,4900,8100,0.0648,0.1065699478696921,0.1511981046748973
186,186,6,50,8,3,10.0,deli,2,1.0,0.5,8.0,0.7,0.3970004580914974,True,False,0.7020024846730539,4900,8100,0.0648,0.0897452651445314,0.1506602595727743
187,187,7,50,8,3,10.0,deli,2,1.0,0.5,8.0,0.7,0.4018193408846855,True,False,0.9918025208349394,4900,8100,0.0648,0.1019097679633294,0.1475126735526216
188,188,8,50,8,3,10.0,deli,2,1.0,0.5,8.0,0.7,0.370638232678175,True,False,0.3058188248312706,4900,8100,0.0648,0.096025129802973,0.1448544301117384
189,189,9,50,8,3,10.0,deli,2,1.0,0.5,8.0,0.7,0.3719619214534759,True,False,0.2851232264927707,4900,8100,0.0648,0.0977598320041089,0.1356594768749057
